Model,Class_ID,Class_Name,Precision,Recall,F1,Support
MLP_XXL,14,Intestinal Parasites,0.9732620320855615,0.9820143884892086,0.9776186213070726,556.0
MLP_XXL,15,Pancreatitis,0.9605734767025089,0.9657657657657658,0.963162623539982,555.0
MLP_XXL,16,Ringworm,0.9855595667870036,0.9837837837837838,0.9846708746618575,555.0
MLP_XXL,17,Upper Respiratory Infection,0.9783783783783784,0.9783783783783784,0.9783783783783784,555.0
MLP_Large,0,Conjunctivitis,0.955595026642984,0.9693693693693693,0.962432915921288,555.0
MLP_Large,1,Feline Asthma,0.9840142095914742,0.9981981981981982,0.9910554561717353,555.0
MLP_Large,2,Feline Calicivirus,0.9708029197080292,0.9568345323741008,0.9637681159420289,556.0
MLP_Large,3,Feline Chlamydiosis,0.7554240631163708,0.6888489208633094,0.7206020696142992,556.0
MLP_Large,4,Feline Herpesvirus,0.729064039408867,0.7985611510791367,0.7622317596566524,556.0
MLP_Large,5,Feline Immunodeficiency Virus,0.9391634980988594,0.8884892086330936,0.9131238447319778,556.0
MLP_Large,6,Feline Infectious Peritonitis,0.8700564971751412,0.8309352517985612,0.8500459981600736,556.0
MLP_Large,7,Feline Leukemia Virus,0.8007246376811594,0.7949640287769785,0.7978339350180506,556.0
MLP_Large,8,Feline Panleukopenia,0.9512195121951219,0.9820143884892086,0.9663716814159292,556.0
MLP_Large,9,Feline Renal Disease,0.9493006993006993,0.9783783783783784,0.963620230700976,555.0
MLP_Large,10,Fungal Infection,0.9555125725338491,0.8900900900900901,0.9216417910447762,555.0
MLP_Large,11,Gastroenteritis,0.947935368043088,0.9496402877697842,0.9487870619946092,556.0
MLP_Large,12,Hyperthyroidism,1.0,1.0,1.0,555.0
MLP_Large,13,Inflammatory Bowel Disease,0.9301919720767888,0.9586330935251799,0.9441984056687334,556.0
MLP_Large,14,Intestinal Parasites,0.9715808170515098,0.9838129496402878,0.9776586237712243,556.0
MLP_Large,15,Pancreatitis,0.9571428571428572,0.9657657657657658,0.9614349775784753,555.0
MLP_Large,16,Ringworm,0.968421052631579,0.9945945945945946,0.9813333333333333,555.0
MLP_Large,17,Upper Respiratory Infection,0.9785714285714285,0.9873873873873874,0.9829596412556054,555.0
XGBoost,0,Conjunctivitis,0.9712746858168761,0.9747747747747748,0.9730215827338129,555.0
XGBoost,1,Feline Asthma,0.9857397504456328,0.9963963963963964,0.9910394265232975,555.0
XGBoost,2,Feline Calicivirus,0.9583333333333334,0.9514388489208633,0.9548736462093863,556.0
XGBoost,3,Feline Chlamydiosis,0.7391304347826086,0.7032374100719424,0.7207373271889401,556.0
XGBoost,4,Feline Herpesvirus,0.7280405405405406,0.7751798561151079,0.7508710801393729,556.0
XGBoost,5,Feline Immunodeficiency Virus,0.9271028037383178,0.8920863309352518,0.9092575618698442,556.0
XGBoost,6,Feline Infectious Peritonitis,0.8571428571428571,0.8309352517985612,0.8438356164383561,556.0
XGBoost,7,Feline Leukemia Virus,0.7875,0.7931654676258992,0.7903225806451613,556.0
XGBoost,8,Feline Panleukopenia,0.9625668449197861,0.9712230215827338,0.9668755595344674,556.0
XGBoost,9,Feline Renal Disease,0.9590017825311943,0.9693693693693693,0.96415770609319,555.0
